id,sentimento_op30_tf_idf,sentimento_op30,palavras_op30,sentimento_sent_tf_idf,sentimento_sent,palavras_sent,palavras
288,-0.029477870656775502,-1,13,0.05516493277428072,1,1,76
289,0.25083656070786264,3,6,0.18240715277893296,2,1,34
290,-0.1328320037159824,-2,21,-0.085039707692396,-2,6,124
291,-0.08303557300657817,-1,4,-0.10088142807667959,-1,1,23
292,-0.15379314591617657,-1,3,0.1050223000848402,1,1,31
293,0.17172140614442166,2,3,0,0,0,41
294,0.08318159871372884,0,4,0.1514710125209267,1,1,17
295,-0.050233172956478105,1,14,-0.04614656796635018,-1,1,92
296,0.0438694732558744,1,13,-0.08408039162241704,-2,2,86
297,-0.009237530927500757,0,11,0,0,2,51
298,-0.0051649267298780385,1,21,0.03613303636577257,2,4,157
299,-0.28538355031837037,-11,48,-0.1120413150059703,-5,14,176
300,0.18134667685539257,4,9,-0.024256511483615514,-1,1,55
301,-0.071609556049697,0,44,0.11915928363766592,4,6,139
302,0,0,0,0,0,0,155
303,0.11870034048933055,31,118,0.06291762019090841,12,18,580
304,0,0,3,0,0,0,12
305,0.014444879484570631,0,11,0,0,0,92
306,-0.4937776747064076,-3,8,0.012670784628380116,0,3,30
307,0,0,0,0,0,0,57
308,0,0,0,0,0,0,139
309,0.3676504434624284,3,12,0.04776575168122214,0,2,43
310,0.0482733103164409,3,29,0.07333054635138887,5,7,131
311,-0.06924680234016443,-4,28,-0.09210037984563935,-4,9,179
312,0,0,0,0,0,0,59
313,-0.11245993832457704,-3,5,-0.019119838463555756,-1,1,75
314,-0.15677028954931002,-2,12,-0.14620841024041709,-2,4,67
315,0.14312853519236873,6,26,0.030032255048386122,2,6,163
316,-0.06645773058162105,0,9,-0.009762636345914733,0,2,62
317,-0.1631919056926638,-2,8,-0.029021183382182847,-1,1,49
318,-0.07778980583035414,-3,25,0,0,1,150
319,0.4253377723973022,7,13,0.10411638213625979,2,2,63
320,0.0407489488741021,7,30,-0.2599654880983078,-8,12,138
